,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code
31,1903_01_TeamNE_TeamA2,10,2.0,10,178820,6,2
64,1903_01_TeamNE_TeamA2,18,4.0,18,460212,6,2
108,1903_01_TeamNE_TeamA2,28,7.0,28,713652,6,2
148,1903_01_TeamNE_TeamA2,38,9.0,38,1092459,5,2
214,1903_01_TeamNE_TeamA2,58,13.0,58,1616896,6,2
271,1903_01_TeamNE_TeamA2,73,17.0,73,2190634,5,2
441,1903_01_TeamNE_TeamA2,117,29.0,117,3638082,6,2
453,1903_01_TeamNE_TeamA2,119,30.0,119,3794238,6,2
480,1903_01_TeamNE_TeamA2,124,32.0,124,3912312,4,2
585,1903_01_TeamNE_TeamA2,149,39.0,149,4904095,6,2
716,1903_01_TeamNE_TeamA2,185,47.0,185,6119948,4,2
777,1903_01_TeamNE_TeamA2,203,51.0,203,6590133,5,2
887,1903_01_TeamNE_TeamA2,230,60.0,231,7469914,4,2
1015,1903_01_TeamNE_TeamA2,260,68.0,261,8667386,4,2
1222,1903_01_TeamNE_TeamA2,318,81.0,319,10700815,5,2
1254,1903_01_TeamNE_TeamA2,326,84.0,327,10931419,5,2
1296,1903_16_TeamNI_TeamA3,12,3.0,12,248618,6,2
1357,1903_16_TeamNI_TeamA3,25,8.0,26,738168,6,2
1444,1903_16_TeamNI_TeamA3,46,15.0,47,1347618,4,2
1592,1903_16_TeamNI_TeamA3,82,25.0,83,2514968,5,2
1642,1903_16_TeamNI_TeamA3,96,28.0,97,2970318,6,2
1737,1903_16_TeamNI_TeamA3,121,35.0,122,3763018,3,2
1750,1903_16_TeamNI_TeamA3,124,36.0,125,3840368,3,2
1788,1903_16_TeamNI_TeamA3,132,39.0,133,4229468,5,2
1834,1903_16_TeamNI_TeamA3,141,42.0,142,4505668,6,2
1862,1903_16_TeamNI_TeamA3,147,44.0,148,4752518,4,2
1914,1903_16_TeamNI_TeamA3,162,47.0,163,5181518,5,2
1965,1903_16_TeamNI_TeamA3,177,50.0,178,5673418,4,2
2011,1903_16_TeamNI_TeamA3,188,53.0,189,5934318,6,2
2120,1903_16_TeamNI_TeamA3,219,59.0,220,6927268,4,2
2304,1903_16_TeamNI_TeamA3,268,70.0,269,8535571,6,2
2335,1903_16_TeamNI_TeamA3,276,73.0,277,8891321,6,2
2526,1902_02_TeamMG_TeamA3,43,10.0,43,1395969,3,2
2623,1902_02_TeamMG_TeamA3,68,17.0,68,2183769,4,2
2665,1902_02_TeamMG_TeamA3,79,20.0,79,2565169,6,2
2960,1902_02_TeamMG_TeamA3,161,38.0,161,5580619,6,2
3048,1902_02_TeamMG_TeamA3,185,44.0,185,6357469,4,2
3265,1902_02_TeamMG_TeamA3,249,57.0,249,8588669,5,2
3435,1902_02_TeamMG_TeamA3,296,68.0,296,10142219,4,2
3585,1902_02_TeamMG_TeamA3,337,78.0,337,11515119,5,2
3606,1902_02_TeamMG_TeamA3,341,80.0,341,11640569,4,2
3663,1902_02_TeamMG_TeamA3,354,84.0,354,12108669,4,2
3676,1902_02_TeamMG_TeamA3,356,85.0,356,12278719,4,2
3686,1902_02_TeamMG_TeamA3,358,86.0,358,12325369,5,2
3719,1903_08_TeamNJ_TeamB,4,1.0,4,80817,5,2
3808,1903_08_TeamNJ_TeamB,25,6.0,25,771367,6,2
3852,1903_08_TeamNJ_TeamB,37,9.0,37,1171817,4,2
3917,1903_08_TeamNJ_TeamB,54,13.0,55,1852267,4,2
3952,1903_08_TeamNJ_TeamB,64,15.0,65,2156517,6,2
4043,1903_08_TeamNJ_TeamB,90,23.0,91,3041067,5,2
4084,1903_08_TeamNJ_TeamB,101,27.0,102,3418567,4,2
4095,1903_08_TeamNJ_TeamB,103,28.0,104,3570417,6,2
4112,1903_08_TeamNJ_TeamB,107,29.0,108,3650617,4,2
4137,1903_08_TeamNJ_TeamB,111,32.0,112,3870567,5,2
4181,1903_08_TeamNJ_TeamB,124,36.0,125,4255267,5,2
4221,1903_08_TeamNJ_TeamB,133,39.0,134,4620267,6,2
4341,1903_08_TeamNJ_TeamB,162,49.0,163,5705067,5,2
4374,1903_08_TeamNJ_TeamB,171,52.0,172,6068717,3,2
4385,1903_08_TeamNJ_TeamB,173,53.0,174,6133517,4,2
4396,1903_08_TeamNJ_TeamB,175,54.0,176,6304617,4,2
4446,1903_08_TeamNJ_TeamB,190,57.0,191,6785667,6,2
4458,1903_08_TeamNJ_TeamB,192,58.0,193,6847767,6,2
4530,1903_08_TeamNJ_TeamB,213,65.0,214,7644017,5,2
4552,1903_08_TeamNJ_TeamB,218,66.0,219,7810767,6,2
4601,1903_08_TeamNJ_TeamB,232,70.0,233,8366817,6,2
4614,1903_08_TeamNJ_TeamB,234,71.0,235,8417417,6,2
5283,1900_08_TeamKL_TeamB,186,,186,6935640,5,2
5527,1900_08_TeamKL_TeamB,253,,253,9579580,6,2
5720,1903_23_TeamNA_TeamA1,26,4.0,26,673010,4,2
5793,1903_23_TeamNA_TeamA1,46,9.0,47,1232610,5,2
5870,1903_23_TeamNA_TeamA1,67,16.0,69,2019694,4,2
6046,1903_23_TeamNA_TeamA1,110,31.0,113,3544494,4,2
6069,1903_23_TeamNA_TeamA1,115,32.0,119,3672994,4,2
6101,1903_23_TeamNA_TeamA1,124,34.0,128,3935444,3,2
6138,1903_23_TeamNA_TeamA1,133,36.0,137,4245694,4,2
6164,1903_23_TeamNA_TeamA1,140,37.0,144,4398894,4,2
6363,1903_23_TeamNA_TeamA1,196,48.0,201,6198894,3,2
6392,1903_23_TeamNA_TeamA1,203,50.0,209,6437244,6,2
6453,1903_23_TeamNA_TeamA1,221,55.0,227,7021594,3,2
6571,1903_23_TeamNA_TeamA1,254,64.0,262,8029194,4,2
6634,1903_23_TeamNA_TeamA1,273,67.0,281,8582544,6,2
6710,1902_19_TeamME_TeamA2,23,4.0,23,533437,5,2
6717,1902_19_TeamME_TeamA2,24,5.0,24,742452,6,2
6857,1902_19_TeamME_TeamA2,62,13.0,62,2297752,4,2
7162,1902_19_TeamME_TeamA2,143,30.0,143,5017052,3,2
7199,1902_19_TeamME_TeamA2,154,32.0,154,5366502,6,2
7226,1902_19_TeamME_TeamA2,161,33.0,161,5536802,5,2
7290,1902_19_TeamME_TeamA2,179,38.0,179,6401652,3,2
7411,1902_19_TeamME_TeamA2,213,47.0,213,7574002,4,2
7485,1902_19_TeamME_TeamA2,235,52.0,235,8277102,4,2
7515,1902_19_TeamME_TeamA2,243,54.0,243,8572852,4,2
7586,1902_19_TeamME_TeamA2,261,,261,9284202,4,2
7660,1902_19_TeamME_TeamA2,280,64.0,280,9925402,4,2
7766,1901_08_TeamLK_TeamB,19,,19,487543,5,2
7925,1901_08_TeamLK_TeamB,62,,62,1878892,6,2
7955,1901_08_TeamLK_TeamB,69,,69,2190641,5,2
8017,1901_08_TeamLK_TeamB,84,,84,2802141,4,2
8084,1901_08_TeamLK_TeamB,102,,102,3319390,5,2
8118,1901_08_TeamLK_TeamB,111,,111,3585090,6,2
8141,1901_08_TeamLK_TeamB,117,,117,3867690,6,2
8229,1901_08_TeamLK_TeamB,139,,139,4690739,6,2
8246,1901_08_TeamLK_TeamB,143,,143,4910039,4,2
8280,1901_08_TeamLK_TeamB,150,,150,5120488,3,2
8308,1901_08_TeamLK_TeamB,158,,158,5456438,6,2
8407,1901_08_TeamLK_TeamB,184,,185,6573037,5,2
8441,1901_08_TeamLK_TeamB,193,,194,6959787,5,2
8472,1901_08_TeamLK_TeamB,200,,201,7304836,3,2
8646,1901_08_TeamLK_TeamB,248,,249,9217785,6,2
8963,1902_22_TeamMA_TeamA1,75,21.0,75,2638540,4,2
9000,1902_22_TeamMA_TeamA1,84,24.0,84,3054240,6,2
9056,1902_22_TeamMA_TeamA1,98,28.0,98,3442240,5,2
9084,1902_22_TeamMA_TeamA1,104,30.0,104,3681740,4,2
9256,1902_22_TeamMA_TeamA1,151,42.0,151,5418140,3,2
9271,1902_22_TeamMA_TeamA1,155,44.0,155,5519840,4,2
9282,1902_22_TeamMA_TeamA1,157,45.0,157,5679790,5,2
9307,1902_22_TeamMA_TeamA1,161,47.0,161,5780040,4,2
9322,1902_22_TeamMA_TeamA1,164,48.0,164,5859040,6,2
9384,1902_22_TeamMA_TeamA1,182,52.0,182,6391390,6,2
9398,1902_22_TeamMA_TeamA1,185,53.0,185,6473090,6,2
9431,1902_22_TeamMA_TeamA1,193,55.0,193,6793790,6,2
9441,1902_22_TeamMA_TeamA1,195,56.0,195,6840940,5,2
9475,1902_22_TeamMA_TeamA1,202,59.0,202,7133590,5,2
9546,1902_22_TeamMA_TeamA1,218,64.0,218,7806040,5,2
9574,1902_22_TeamMA_TeamA1,226,66.0,226,8113090,3,2
9661,1902_22_TeamMA_TeamA1,249,73.0,249,8903090,4,2
9762,1902_12_TeamMI_TeamA3,13,4.0,13,302654,6,2
9799,1902_12_TeamMI_TeamA3,24,7.0,24,663354,3,2
9930,1902_12_TeamMI_TeamA3,57,16.0,57,1841804,5,2
10230,1902_12_TeamMI_TeamA3,138,37.0,138,4692704,6,2
10354,1902_12_TeamMI_TeamA3,174,45.0,174,6078454,5,2
10370,1902_12_TeamMI_TeamA3,178,46.0,178,6289504,3,2
10458,1902_12_TeamMI_TeamA3,196,53.0,196,7125554,5,2
10499,1902_12_TeamMI_TeamA3,208,55.0,208,7442804,4,2
10651,1902_12_TeamMI_TeamA3,249,65.0,249,8966204,6,2
10692,1902_12_TeamMI_TeamA3,260,68.0,260,9358454,6,2
10717,1902_12_TeamMI_TeamA3,266,71.0,266,9669204,5,2
10764,1903_11_TeamNC_TeamA1,13,4.0,13,394300,3,2
10930,1903_11_TeamNC_TeamA1,52,16.0,52,1707650,4,2
10958,1903_11_TeamNC_TeamA1,59,18.0,59,1991100,6,2
10971,1903_11_TeamNC_TeamA1,61,19.0,61,2061950,5,2
11078,1903_11_TeamNC_TeamA1,90,25.0,90,2970250,4,2
11111,1903_11_TeamNC_TeamA1,98,28.0,99,8602086,4,2
11140,1903_11_TeamNC_TeamA1,103,30.0,104,8842286,4,2
11168,1903_11_TeamNC_TeamA1,110,32.0,111,9098486,4,2
11315,1903_11_TeamNC_TeamA1,139,40.0,140,10109036,3,2
11474,1903_11_TeamNC_TeamA1,178,53.0,179,11355186,5,2
11507,1903_11_TeamNC_TeamA1,188,56.0,189,11732336,5,2
11534,1903_11_TeamNC_TeamA1,193,58.0,194,11956536,4,2
11572,1903_11_TeamNC_TeamA1,200,61.0,201,12241436,4,2
11610,1903_11_TeamNC_TeamA1,207,64.0,208,12560786,3,2
11700,1903_11_TeamNC_TeamA1,231,72.0,233,13505136,5,2
11734,1903_11_TeamNC_TeamA1,240,74.0,242,13678686,3,2
11751,1903_11_TeamNC_TeamA1,244,75.0,246,13859586,4,2
11830,1903_11_TeamNC_TeamA1,259,82.0,261,14537736,4,2
11848,1903_11_TeamNC_TeamA1,263,84.0,265,14625086,5,2
11858,1903_11_TeamNC_TeamA1,264,85.0,266,14748836,6,2
11894,1900_07_TeamKL_TeamB,8,,8,155650,6,2
11907,1900_07_TeamKL_TeamB,11,,11,208953,6,2
11924,1900_07_TeamKL_TeamB,15,,15,403584,6,2
11948,1900_07_TeamKL_TeamB,21,,21,515141,4,2
12160,1900_07_TeamKL_TeamB,83,,83,2366992,6,2
12329,1900_07_TeamKL_TeamB,127,,127,4015861,4,2
12338,1900_07_TeamKL_TeamB,128,,128,4050616,5,2
12352,1900_07_TeamKL_TeamB,131,,131,4142370,4,2
12365,1900_07_TeamKL_TeamB,134,,134,4316406,5,2
12375,1900_07_TeamKL_TeamB,136,,136,4362052,3,2
12437,1900_07_TeamKL_TeamB,154,,154,5032484,4,2
12449,1900_07_TeamKL_TeamB,156,,156,5192592,5,2
12535,1900_07_TeamKL_TeamB,179,,179,6210469,3,2
12553,1900_07_TeamKL_TeamB,184,,184,6425299,3,2
12558,1900_07_TeamKL_TeamB,185,,185,6462034,6,2
12683,1902_13_TeamMD_TeamA2,17,5.0,17,614130,4,2
12691,1902_13_TeamMD_TeamA2,18,6.0,18,644180,5,2
12708,1902_13_TeamMD_TeamA2,20,8.0,20,758330,4,2
12745,1902_13_TeamMD_TeamA2,28,12.0,28,1102230,6,2
12801,1902_13_TeamMD_TeamA2,38,15.0,38,1476980,3,2
12835,1902_13_TeamMD_TeamA2,44,17.0,44,1677130,6,2
12993,1902_13_TeamMD_TeamA2,88,28.0,88,3238830,5,2
13008,1902_13_TeamMD_TeamA2,91,29.0,91,3322080,4,2
13063,1902_13_TeamMD_TeamA2,106,32.0,106,3762980,6,2
13072,1902_13_TeamMD_TeamA2,108,33.0,108,3926230,5,2
13301,1902_13_TeamMD_TeamA2,172,47.0,172,6043830,4,2
13566,1902_13_TeamMD_TeamA2,248,67.0,248,8690130,6,2
13619,1902_13_TeamMD_TeamA2,264,70.0,264,9060530,6,2
13659,1902_13_TeamMD_TeamA2,271,73.0,271,9380280,6,2
13839,1902_13_TeamMD_TeamA2,318,84.0,318,11166830,6,2
13883,1903_17_TeamNI_TeamA3,6,1.0,6,83769,6,2
14007,1903_17_TeamNI_TeamA3,43,12.0,43,1425383,4,2
14035,1903_17_TeamNI_TeamA3,50,14.0,50,1703233,4,2
14074,1903_17_TeamNI_TeamA3,59,17.0,59,1963183,4,2
14140,1903_17_TeamNI_TeamA3,76,22.0,76,2522783,3,2
14168,1903_17_TeamNI_TeamA3,84,23.0,84,2835933,4,2
14223,1903_17_TeamNI_TeamA3,98,29.0,98,3511663,5,2
14262,1903_17_TeamNI_TeamA3,109,32.0,109,3965213,4,2
14288,1903_17_TeamNI_TeamA3,114,34.0,114,4204413,4,2
14322,1903_17_TeamNI_TeamA3,121,36.0,121,4486863,4,2
14365,1903_17_TeamNI_TeamA3,130,38.0,130,4683163,6,2
14419,1903_17_TeamNI_TeamA3,138,41.0,138,4948363,4,2
14562,1903_17_TeamNI_TeamA3,173,51.0,173,6139413,3,2
14613,1903_17_TeamNI_TeamA3,188,55.0,188,6768713,6,2
14635,1903_17_TeamNI_TeamA3,193,57.0,193,6971113,4,2
14670,1903_17_TeamNI_TeamA3,203,59.0,203,7281663,6,2
14751,1903_17_TeamNI_TeamA3,228,63.0,228,7994513,6,2
14777,1903_17_TeamNI_TeamA3,235,65.0,235,8244963,4,2
14788,1903_17_TeamNI_TeamA3,237,66.0,237,8289863,5,2
14848,1903_17_TeamNI_TeamA3,255,71.0,255,8956157,5,2
14874,1903_27_TeamNK_TeamB,3,2.0,3,92870,6,2
14990,1903_27_TeamNK_TeamB,26,8.0,26,906439,6,2
15101,1903_27_TeamNK_TeamB,55,15.0,55,2061922,5,2
15276,1903_27_TeamNK_TeamB,102,32.0,102,3981198,4,2
15347,1903_27_TeamNK_TeamB,123,37.0,123,4657112,6,2
15405,1903_27_TeamNK_TeamB,135,41.0,135,5029913,4,2
15423,1903_27_TeamNK_TeamB,139,42.0,139,5216825,4,2
15657,1903_27_TeamNK_TeamB,192,60.0,192,7109052,6,2
15851,1903_27_TeamNK_TeamB,247,74.0,247,9061730,6,2
15948,1903_27_TeamNK_TeamB,273,81.0,273,10025925,4,2
15993,1901_12_TeamLJ_TeamB,9,,9,168214,6,2
16038,1901_12_TeamLJ_TeamB,23,,23,562813,3,2
16164,1901_12_TeamLJ_TeamB,58,,58,2049345,5,2
16247,1901_12_TeamLJ_TeamB,83,,83,2773894,6,2
16301,1901_12_TeamLJ_TeamB,96,,96,3213294,5,2
16360,1901_12_TeamLJ_TeamB,110,,110,3743643,3,2
16395,1901_12_TeamLJ_TeamB,117,,117,4065443,6,2
16478,1901_12_TeamLJ_TeamB,139,,139,4809642,4,2
16521,1901_12_TeamLJ_TeamB,149,,149,5151842,5,2
16547,1901_12_TeamLJ_TeamB,156,,156,5438892,5,2
16741,1901_12_TeamLJ_TeamB,210,,210,7169540,4,2
16932,1901_12_TeamLJ_TeamB,263,,263,9125188,6,2
16953,1901_12_TeamLJ_TeamB,268,,268,9244738,4,2
16960,1901_12_TeamLJ_TeamB,269,,269,9284038,4,2
17021,1902_03_TeamMG_TeamA3,15,4.0,15,472346,4,2
17029,1902_03_TeamMG_TeamA3,16,5.0,16,624946,6,2
17063,1902_03_TeamMG_TeamA3,24,7.0,24,803246,5,2
17089,1902_03_TeamMG_TeamA3,28,9.0,28,963296,3,2
17175,1902_03_TeamMG_TeamA3,53,15.0,53,1787396,5,2
17347,1902_03_TeamMG_TeamA3,99,,99,3187846,5,2
17362,1902_03_TeamMG_TeamA3,102,28.0,102,3266446,5,2
17386,1902_03_TeamMG_TeamA3,106,30.0,106,3475846,6,2
17445,1902_03_TeamMG_TeamA3,122,33.0,122,3956746,6,2
17461,1902_03_TeamMG_TeamA3,126,34.0,126,4139546,5,2
17508,1902_03_TeamMG_TeamA3,137,37.0,137,4453346,4,2
17545,1902_03_TeamMG_TeamA3,146,40.0,146,4773946,3,2
17885,1902_03_TeamMG_TeamA3,230,60.0,230,8069196,4,2
17938,1902_03_TeamMG_TeamA3,242,64.0,242,8642046,6,2
18235,1902_03_TeamMG_TeamA3,321,80.0,321,11555296,4,2
18386,1900_09_TeamKK_TeamB,35,,35,1156925,6,2
18445,1900_09_TeamKK_TeamB,53,,53,1719729,5,2
18580,1900_09_TeamKK_TeamB,91,,94,3299056,5,2
18624,1900_09_TeamKK_TeamB,102,,105,3616136,6,2
18753,1900_09_TeamKK_TeamB,137,,140,4841978,3,2
18833,1900_09_TeamKK_TeamB,160,,163,5970522,4,2
18868,1900_09_TeamKK_TeamB,170,,173,6324832,4,2
19248,1901_01_TeamLG_TeamA3,21,,21,681576,6,2
19269,1901_01_TeamLG_TeamA3,26,,26,906226,6,2
19280,1901_01_TeamLG_TeamA3,28,,28,957476,4,2
19334,1901_01_TeamLG_TeamA3,41,,41,1381026,6,2
19347,1901_01_TeamLG_TeamA3,43,,43,1560925,6,2
19454,1901_01_TeamLG_TeamA3,72,,72,2383675,6,2
19539,1901_01_TeamLG_TeamA3,95,,95,3086924,6,2
19570,1901_01_TeamLG_TeamA3,103,,103,3386574,5,2
19625,1901_01_TeamLG_TeamA3,119,,119,3833673,5,2
19802,1901_01_TeamLG_TeamA3,167,,167,5564072,3,2
19835,1901_01_TeamLG_TeamA3,176,,176,5883571,6,2
20003,1901_01_TeamLG_TeamA3,223,,223,7346520,6,2
20053,1901_01_TeamLG_TeamA3,235,,235,7810681,5,2
20087,1901_01_TeamLG_TeamA3,241,,241,7985631,4,2
20157,1900_03_TeamKJ_TeamB,8,,8,181277,5,2
20593,1900_03_TeamKJ_TeamB,137,,137,5629596,3,2
20887,1903_22_TeamNA_TeamA1,4,2.0,4,69313,4,2
20963,1903_22_TeamNA_TeamA1,20,6.0,20,555513,4,2
21086,1903_22_TeamNA_TeamA1,52,14.0,52,1446613,6,2
21174,1903_22_TeamNA_TeamA1,75,18.0,76,1998113,3,2
21180,1903_22_TeamNA_TeamA1,76,19.0,77,2148513,4,2
21319,1903_22_TeamNA_TeamA1,113,29.0,114,3150663,4,2
21403,1903_22_TeamNA_TeamA1,135,34.0,136,3826313,4,2
21479,1903_22_TeamNA_TeamA1,152,41.0,153,4393813,6,2
21748,1903_22_TeamNA_TeamA1,225,58.0,226,6869513,4,2
21819,1903_22_TeamNA_TeamA1,246,63.0,247,7651663,4,2
21851,1903_22_TeamNA_TeamA1,251,65.0,252,7818413,4,2
21906,1902_16_TeamMD_TeamA2,3,1.0,3,78956,3,2
21977,1902_16_TeamMD_TeamA2,24,6.0,24,676856,4,2
22027,1902_16_TeamMD_TeamA2,35,11.0,35,1127273,6,2
22040,1902_16_TeamMD_TeamA2,37,12.0,37,1303473,3,2
22184,1902_16_TeamMD_TeamA2,77,19.0,77,2525967,6,2
22201,1902_16_TeamMD_TeamA2,80,20.0,80,2651051,3,2
22214,1902_16_TeamMD_TeamA2,83,22.0,83,2836051,4,2
22222,1902_16_TeamMD_TeamA2,84,23.0,84,2869101,6,2
22245,1902_16_TeamMD_TeamA2,90,25.0,90,3121801,6,2
22324,1902_16_TeamMD_TeamA2,112,31.0,112,3866966,6,2
22341,1902_16_TeamMD_TeamA2,116,32.0,116,4067116,3,2
22381,1902_16_TeamMD_TeamA2,127,35.0,127,4431516,4,2
22398,1902_16_TeamMD_TeamA2,131,36.0,131,4536066,5,2
22455,1902_16_TeamMD_TeamA2,146,38.0,146,4924366,4,2
22468,1902_16_TeamMD_TeamA2,149,39.0,149,5099566,5,2
22551,1902_16_TeamMD_TeamA2,173,45.0,173,5782066,3,2
22574,1902_16_TeamMD_TeamA2,179,46.0,179,6037366,4,2
22609,1902_16_TeamMD_TeamA2,187,49.0,187,6275316,3,2
22618,1902_16_TeamMD_TeamA2,189,50.0,189,6444566,6,2
22673,1902_16_TeamMD_TeamA2,205,54.0,205,7178716,5,2
22779,1902_16_TeamMD_TeamA2,237,61.0,237,8240616,5,2
22813,1902_16_TeamMD_TeamA2,244,64.0,244,8487316,5,2
22903,1903_32_TeamNB_TeamA1,3,2.0,3,47938,4,2
22977,1903_32_TeamNB_TeamA1,18,8.0,18,498288,5,2
23036,1903_32_TeamNB_TeamA1,35,12.0,36,923388,6,2
23050,1903_32_TeamNB_TeamA1,38,13.0,39,1076388,3,2
23056,1903_32_TeamNB_TeamA1,39,14.0,40,1105038,5,2
23071,1903_32_TeamNB_TeamA1,42,15.0,43,1168138,6,2
23120,1903_32_TeamNB_TeamA1,54,20.0,56,1673138,4,2
23136,1903_32_TeamNB_TeamA1,58,21.0,60,1744938,6,2
23200,1903_32_TeamNB_TeamA1,74,24.0,76,2152038,5,2
23211,1903_32_TeamNB_TeamA1,76,25.0,78,2310238,5,2
23228,1903_32_TeamNB_TeamA1,80,28.0,83,2574477,6,2
23246,1903_32_TeamNB_TeamA1,84,29.0,87,2652227,4,2
23310,1903_32_TeamNB_TeamA1,101,35.0,104,3230977,3,2
23419,1903_32_TeamNB_TeamA1,129,44.0,132,4168777,3,2
23436,1903_32_TeamNB_TeamA1,132,46.0,135,4348927,5,2
23447,1903_32_TeamNB_TeamA1,134,47.0,137,4406327,6,2
23493,1903_32_TeamNB_TeamA1,144,50.0,147,4757977,6,2
23562,1903_32_TeamNB_TeamA1,165,54.0,169,5395327,4,2
23591,1901_07_TeamLK_TeamB,6,,7,118254,6,2
23641,1901_07_TeamLK_TeamB,18,,19,539504,4,2
23670,1901_07_TeamLK_TeamB,24,,26,815953,4,2
23718,1901_07_TeamLK_TeamB,38,,40,1207903,6,2
23778,1901_07_TeamLK_TeamB,53,,55,1678453,5,2
23787,1901_07_TeamLK_TeamB,54,,56,1717003,4,2
23830,1901_07_TeamLK_TeamB,66,,68,2238852,5,2
23910,1901_07_TeamLK_TeamB,91,,93,3099301,5,2
24045,1901_07_TeamLK_TeamB,125,,127,4367450,5,2
24067,1901_07_TeamLK_TeamB,131,,133,4602950,5,2
24157,1901_07_TeamLK_TeamB,154,,156,5575399,5,2
24194,1901_07_TeamLK_TeamB,164,,166,5984998,5,2
24259,1901_07_TeamLK_TeamB,182,,184,6642798,5,2
24300,1901_07_TeamLK_TeamB,192,,194,6986048,5,2
24314,1901_07_TeamLK_TeamB,194,,196,7166647,6,2
24502,1901_07_TeamLK_TeamB,248,,250,9296745,4,2
24507,1901_07_TeamLK_TeamB,249,,251,9380895,4,2
24522,1902_23_TeamMA_TeamA1,3,1.0,3,42588,4,2
24536,1902_23_TeamMA_TeamA1,6,2.0,6,104788,4,2
24623,1902_23_TeamMA_TeamA1,31,7.0,31,883088,6,2
24660,1902_23_TeamMA_TeamA1,39,10.0,39,1212338,6,2
24838,1902_23_TeamMA_TeamA1,87,22.0,87,2792638,6,2
