,game_event_index,Unnamed: 0,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code,bounce_1,bounce_2,bounce_3,num_bounces
0,1737,1737,1903_16_TeamNI_TeamA3,121,35.0,122,3763018,3,2,3761718,3762518.0,,2
1,1750,1750,1903_16_TeamNI_TeamA3,124,36.0,125,3840368,3,2,3839168,3839718.0,3840068.0,3
2,2526,2526,1902_02_TeamMG_TeamA3,43,10.0,43,1395969,3,2,1394319,1395869.0,,2
3,4374,4374,1903_08_TeamNJ_TeamB,171,52.0,172,6068717,3,2,6067067,6068317.0,,2
4,6101,6101,1903_23_TeamNA_TeamA1,124,34.0,128,3935444,3,2,3934794,3935194.0,,2
5,6363,6363,1903_23_TeamNA_TeamA1,196,48.0,201,6198894,3,2,6197944,,,1
6,6453,6453,1903_23_TeamNA_TeamA1,221,55.0,227,7021594,3,2,7021094,,,1
7,7162,7162,1902_19_TeamME_TeamA2,143,30.0,143,5017052,3,2,5014452,5015602.0,5016252.0,4
8,7290,7290,1902_19_TeamME_TeamA2,179,38.0,179,6401652,3,2,6400302,6401052.0,,2
9,8280,8280,1901_08_TeamLK_TeamB,150,,150,5120488,3,2,5119988,,,1
10,8472,8472,1901_08_TeamLK_TeamB,200,,201,7304836,3,2,7303636,7304436.0,,2
11,9256,9256,1902_22_TeamMA_TeamA1,151,42.0,151,5418140,3,2,5417390,5418040.0,,2
12,9574,9574,1902_22_TeamMA_TeamA1,226,66.0,226,8113090,3,2,8111790,8112490.0,8112890.0,3
13,9799,9799,1902_12_TeamMI_TeamA3,24,7.0,24,663354,3,2,661704,,,1
14,10370,10370,1902_12_TeamMI_TeamA3,178,46.0,178,6289504,3,2,6287754,,,1
15,10764,10764,1903_11_TeamNC_TeamA1,13,4.0,13,394300,3,2,393200,393700.0,394150.0,3
16,11315,11315,1903_11_TeamNC_TeamA1,139,40.0,140,10109036,3,2,10106686,10108586.0,,2
17,11610,11610,1903_11_TeamNC_TeamA1,207,64.0,208,12560786,3,2,12559336,12560036.0,12560486.0,4
18,11734,11734,1903_11_TeamNC_TeamA1,240,74.0,242,13678686,3,2,13677036,13677436.0,13677736.0,4
19,12375,12375,1900_07_TeamKL_TeamB,136,,136,4362052,3,2,4361590,,,1
20,12535,12535,1900_07_TeamKL_TeamB,179,,179,6210469,3,2,6209314,,,1
21,12553,12553,1900_07_TeamKL_TeamB,184,,184,6425299,3,2,6424078,,,1
22,12801,12801,1902_13_TeamMD_TeamA2,38,15.0,38,1476980,3,2,1474630,1475430.0,1475880.0,7
23,14140,14140,1903_17_TeamNI_TeamA3,76,22.0,76,2522783,3,2,2521383,2521683.0,2522333.0,4
24,14562,14562,1903_17_TeamNI_TeamA3,173,51.0,173,6139413,3,2,6138813,6139113.0,,2
25,16038,16038,1901_12_TeamLJ_TeamB,23,,23,562813,3,2,561913,562263.0,,2
26,16360,16360,1901_12_TeamLJ_TeamB,110,,110,3743643,3,2,3742093,3743193.0,,2
27,17089,17089,1902_03_TeamMG_TeamA3,28,9.0,28,963296,3,2,961446,,,1
28,17545,17545,1902_03_TeamMG_TeamA3,146,40.0,146,4773946,3,2,4772296,4772746.0,4773096.0,6
29,18753,18753,1900_09_TeamKK_TeamB,137,,140,4841978,3,2,4840889,,,1
30,19802,19802,1901_01_TeamLG_TeamA3,167,,167,5564072,3,2,5563872,,,1
31,20593,20593,1900_03_TeamKJ_TeamB,137,,137,5629596,3,2,5628936,,,1
32,21174,21174,1903_22_TeamNA_TeamA1,75,18.0,76,1998113,3,2,1996863,1997563.0,,2
33,21906,21906,1902_16_TeamMD_TeamA2,3,1.0,3,78956,3,2,78556,,,1
34,22040,22040,1902_16_TeamMD_TeamA2,37,12.0,37,1303473,3,2,1302073,1302873.0,,2
35,22201,22201,1902_16_TeamMD_TeamA2,80,20.0,80,2651051,3,2,2649651,2650051.0,2650451.0,4
36,22341,22341,1902_16_TeamMD_TeamA2,116,32.0,116,4067116,3,2,4065916,4066616.0,,2
37,22551,22551,1902_16_TeamMD_TeamA2,173,45.0,173,5782066,3,2,5780566,,,1
38,22609,22609,1902_16_TeamMD_TeamA2,187,49.0,187,6275316,3,2,6273716,,,1
39,23050,23050,1903_32_TeamNB_TeamA1,38,13.0,39,1076388,3,2,1075188,1075788.0,,2
40,23310,23310,1903_32_TeamNB_TeamA1,101,35.0,104,3230977,3,2,3229427,3230527.0,,2
41,23419,23419,1903_32_TeamNB_TeamA1,129,44.0,132,4168777,3,2,4168127,4168627.0,,2
42,25046,25046,1902_23_TeamMA_TeamA1,143,39.0,143,4846088,3,2,4844888,4845488.0,,2
43,26425,26425,1902_15_TeamMK_TeamB,215,56.0,215,7431464,3,2,7429864,,,1
44,27799,27799,1902_04_TeamML_TeamB,275,78.0,275,9161884,3,2,9160134,,,1
45,27951,27951,1903_24_TeamNA_TeamA1,10,5.0,10,393969,3,2,392569,393369.0,,2
46,28500,28500,1903_24_TeamNA_TeamA1,148,41.0,148,4610019,3,2,4608569,4609369.0,,2
47,28734,28734,1903_24_TeamNA_TeamA1,203,59.0,203,6643619,3,2,6641669,6643069.0,,2
48,28748,28748,1903_24_TeamNA_TeamA1,206,60.0,206,6708519,3,2,6705719,6707019.0,6707819.0,4
49,28818,28818,1903_03_TeamNE_TeamA2,3,1.0,3,28528,3,2,28128,,,1
50,28890,28890,1903_03_TeamNE_TeamA2,23,6.0,23,579528,3,2,578678,579178.0,579428.0,3
51,28932,28932,1903_03_TeamNE_TeamA2,33,9.0,33,893028,3,2,890778,891828.0,892428.0,4
52,29168,29168,1903_03_TeamNE_TeamA2,91,26.0,92,2638078,3,2,2637278,2637828.0,,2
53,29382,29382,1903_03_TeamNE_TeamA2,149,40.0,150,4492378,3,2,4490978,4491578.0,4491978.0,3
54,29736,29736,1903_03_TeamNE_TeamA2,243,64.0,244,7762578,3,2,7760278,7761978.0,,2
55,29792,29792,1903_03_TeamNE_TeamA2,260,68.0,261,8268278,3,2,8266428,8267878.0,,2
56,29948,29948,1903_03_TeamNE_TeamA2,296,80.0,298,9901878,3,2,9901078,9901728.0,,2
57,29972,29972,1903_12_TeamNC_TeamA1,6,2.0,6,160548,3,2,158798,,,1
58,30127,30127,1903_12_TeamNC_TeamA1,48,11.0,48,1552548,3,2,1552448,,,1
59,30288,30288,1903_12_TeamNC_TeamA1,90,22.0,90,2934954,3,2,2933954,2934354.0,2934754.0,3
60,30340,30340,1903_12_TeamNC_TeamA1,103,26.0,103,3344104,3,2,3342354,3343204.0,3343804.0,3
61,31235,31235,1903_09_TeamNJ_TeamB,107,26.0,108,4003165,3,2,4001815,4002765.0,,2
62,31432,31432,1903_09_TeamNJ_TeamB,156,41.0,158,5984715,3,2,5983465,5983865.0,5984215.0,3
63,31992,31992,1903_19_TeamNL_TeamB,5,2.0,5,90901,3,2,88401,89151.0,89651.0,6
64,32229,32229,1903_19_TeamNL_TeamB,61,18.0,63,2004951,3,2,2004051,2004651.0,,2
65,33694,33694,1901_13_TeamLL_TeamB,138,,138,4287621,3,2,4285721,4287171.0,,2
66,33805,33805,1901_13_TeamLL_TeamB,164,,164,5267221,3,2,5266221,5266771.0,,2
67,33867,33867,1901_13_TeamLL_TeamB,180,,180,5965070,3,2,5964570,,,1
68,34229,34229,1901_02_TeamLG_TeamA3,29,,29,865711,3,2,863311,864561.0,865211.0,3
69,34475,34475,1901_02_TeamLG_TeamA3,94,,94,4097546,3,2,4095346,4096796.0,,2
70,36133,36133,1903_31_TeamNB_TeamA1,238,65.0,242,8237238,3,2,8236588,,,1
71,36700,36700,1901_09_TeamLK_TeamB,91,,92,3469632,3,2,3468682,3469432.0,,2
72,36877,36877,1901_09_TeamLK_TeamB,143,,144,5511380,3,2,5509980,5510930.0,,2
73,36993,36993,1901_09_TeamLK_TeamB,176,,177,6648979,3,2,6647529,,,1
74,37720,37720,1902_18_TeamMB_TeamA1,71,19.0,71,2527804,3,2,2525004,2526254.0,2526904.0,4
75,38218,38218,1902_18_TeamMB_TeamA1,196,54.0,196,7191454,3,2,7190204,,,1
76,38669,38669,1902_10_TeamMI_TeamA3,34,11.0,34,1306031,3,2,1304981,1305481.0,1305881.0,3
77,38932,38932,1902_10_TeamMI_TeamA3,107,29.0,107,3683481,3,2,3682331,3683081.0,,2
78,39145,39145,1902_10_TeamMI_TeamA3,162,44.0,162,5792381,3,2,5790431,5790781.0,5791131.0,5
79,39175,39175,1902_10_TeamMI_TeamA3,170,46.0,170,6076781,3,2,6074181,6074231.0,6075231.0,4
80,39652,39652,1903_02_TeamNE_TeamA2,17,3.0,17,429975,3,2,429575,,,1
81,39857,39857,1903_02_TeamNE_TeamA2,64,27.0,64,2859596,3,2,2857596,2859146.0,,2
82,40510,40510,1902_26_TeamMC_TeamA1,20,8.0,20,874727,3,2,872927,873727.0,874277.0,3
83,40521,40521,1902_26_TeamMC_TeamA1,22,9.0,22,1035827,3,2,1034427,1035327.0,,2
84,40569,40569,1902_26_TeamMC_TeamA1,34,13.0,34,1448277,3,2,1446477,1447277.0,1447827.0,3
85,40713,40713,1902_26_TeamMC_TeamA1,71,21.0,71,2547277,3,2,2545527,,,1
86,42665,42665,1902_24_TeamMA_TeamA1,36,8.0,36,992699,3,2,990455,991181.0,991577.0,4
87,42883,42883,1902_24_TeamMA_TeamA1,89,22.0,89,2805721,3,2,2803939,2805292.0,,2
88,43074,43074,1902_24_TeamMA_TeamA1,140,36.0,140,4696809,3,2,4695819,4696215.0,4696545.0,3
89,43297,43297,1902_24_TeamMA_TeamA1,204,50.0,204,6850919,3,2,6849137,6850160.0,,2
90,43937,43937,1902_24_TeamMA_TeamA1,369,95.0,369,12918470,3,2,12917480,12918008.0,,2
91,44766,44766,1902_01_TeamMG_TeamA3,193,48.0,193,6179543,3,2,6177893,6179143.0,,2
92,44850,44850,1902_01_TeamMG_TeamA3,212,54.0,212,6851743,3,2,6850243,,,1
93,44982,44982,1902_01_TeamMG_TeamA3,252,62.0,253,8281443,3,2,8279693,8280893.0,,2
94,45263,45263,1901_18_TeamLH_TeamA3,27,,29,875303,3,2,875053,,,1
95,46091,46091,1901_18_TeamLH_TeamA3,247,,253,8445095,3,2,8444995,,,1
96,46275,46275,1901_03_TeamLG_TeamA3,15,,16,546279,3,2,545379,545879.0,,2
97,46650,46650,1901_03_TeamLG_TeamA3,115,,123,3954214,3,2,3952314,3953164.0,3953614.0,4
98,46935,46935,1901_03_TeamLG_TeamA3,179,,192,6422812,3,2,6421612,6422412.0,,2
99,47143,47143,1901_03_TeamLG_TeamA3,237,,251,9003953,3,2,9001303,9001953.0,,2
100,47921,47921,1902_14_TeamMK_TeamB,12,4.0,12,369185,3,2,366785,368035.0,368735.0,3
101,48485,48485,1902_14_TeamMK_TeamB,150,43.0,150,4825935,3,2,4824385,4825535.0,,2
102,49229,49229,1902_05_TeamML_TeamB,36,8.0,36,1134229,3,2,1131829,1133079.0,1133729.0,3
103,49256,49256,1902_05_TeamML_TeamB,43,10.0,43,1362379,3,2,1361279,1361729.0,1362029.0,3
104,49698,49698,1902_05_TeamML_TeamB,155,41.0,155,12764429,3,2,12763079,12764029.0,,2
105,49959,49959,1902_05_TeamML_TeamB,226,58.0,226,15215829,3,2,15214079,15215279.0,,2
106,50292,50292,1902_05_TeamML_TeamB,311,82.0,313,18626079,3,2,18623579,18624829.0,18625579.0,3
107,50481,50481,1902_14_TeamMD_TeamA2,21,8.0,21,630397,3,2,628997,,,1
108,50806,50806,1902_14_TeamMD_TeamA2,98,30.0,98,3119826,3,2,3117676,3119326.0,,2
109,53200,53200,1902_11_TeamMI_TeamA3,93,22.0,93,3126752,3,2,3125602,3126302.0,,2
110,55369,55369,1901_06_TeamLI_TeamA3,122,,123,4235630,3,2,4234130,,,1
111,56228,56228,1902_27_TeamMH_TeamA3,124,29.0,124,4180872,3,2,4179072,4179872.0,4180272.0,4
112,56615,56615,1902_27_TeamMH_TeamA3,237,57.0,237,7982872,3,2,7979622,7981522.0,7982222.0,4
113,56746,56746,1902_27_TeamMH_TeamA3,272,65.0,272,9281622,3,2,9280072,9281122.0,,2
114,57953,57953,1903_05_TeamND_TeamA2,275,63.0,275,8857112,3,2,8856162,,,1
115,58449,58449,1903_26_TeamNH_TeamA3,32,8.0,32,1087963,3,2,1084963,1086413.0,1087013.0,4
116,58748,58748,1903_26_TeamNH_TeamA3,116,29.0,116,3602113,3,2,3600563,3601513.0,3602013.0,3
117,59863,59863,1902_13_TeamMK_TeamB,52,18.0,52,1956760,3,2,1954560,1955560.0,1956060.0,5
118,60073,60073,1902_13_TeamMK_TeamB,105,31.0,105,3726060,3,2,3724160,3725560.0,,2
119,60679,60679,1902_13_TeamMK_TeamB,254,72.0,254,9588110,3,2,9587860,,,1
120,60707,60707,1902_13_TeamMK_TeamB,260,74.0,260,9755760,3,2,9754260,9755360.0,,2
121,61019,61019,1903_15_TeamNG_TeamA3,3,1.0,3,64669,3,2,63319,64019.0,64519.0,3
122,61542,61542,1903_15_TeamNG_TeamA3,140,35.0,140,4666569,3,2,4665219,4666019.0,4666469.0,3
123,62103,62103,1903_15_TeamNG_TeamA3,279,72.0,279,9614269,3,2,9611069,9612469.0,9612969.0,6
124,63746,63746,1903_20_TeamNL_TeamB,161,43.0,161,5488416,3,2,5486066,5487666.0,,2
125,64428,64428,1902_06_TeamML_TeamB,87,26.0,87,3019074,3,2,3017924,3018424.0,3018824.0,3
126,64704,64704,1902_06_TeamML_TeamB,154,43.0,155,5321074,3,2,5319424,5320624.0,,2
127,65255,65255,1903_18_TeamNI_TeamA3,5,2.0,5,100416,3,2,98916,99516.0,99866.0,4
128,65340,65340,1903_18_TeamNI_TeamA3,22,7.0,22,652116,3,2,649616,650816.0,651416.0,4
129,65820,65820,1903_18_TeamNI_TeamA3,140,42.0,141,4445431,3,2,4444331,4444881.0,4445331.0,3
130,67955,67955,1901_14_TeamLL_TeamB,145,,145,5189447,3,2,5187947,5188397.0,,2
131,68217,68217,1901_14_TeamLL_TeamB,219,,219,8021294,3,2,8020794,,,1
132,69546,69546,1902_26_TeamMH_TeamA3,59,18.0,59,1883156,3,2,1882056,1882956.0,,2
133,70522,70522,1902_26_TeamMH_TeamA3,306,78.0,306,10465908,3,2,10462408,10463258.0,10463658.0,3
134,71266,71266,1901_10_TeamLJ_TeamB,165,,169,6653460,3,2,6652260,6653110.0,,2
135,71615,71615,1901_10_TeamLJ_TeamB,251,,255,10275907,3,2,10273707,10275557.0,,2
136,72022,72022,1903_27_TeamNH_TeamA3,109,28.0,111,3359824,3,2,3357824,3359324.0,,2
137,72483,72483,1903_27_TeamNH_TeamA3,233,64.0,236,10314024,3,2,10310774,10312024.0,10312674.0,5
138,72884,72884,1903_25_TeamNK_TeamB,73,23.0,75,2700165,3,2,2699665,,,1
139,74570,74570,1903_14_TeamNG_TeamA3,228,68.0,228,8898268,3,2,8896868,8897868.0,,2
140,74864,74864,1902_29_TeamMF_TeamA2,58,15.0,58,1976468,3,2,1974718,1976068.0,,2
141,75968,75968,1902_28_TeamMC_TeamA1,113,31.0,113,4087005,3,2,4085755,4086505.0,,2
142,76808,76808,1902_07_TeamMJ_TeamB,73,21.0,73,2506352,3,2,2504202,,,1
143,76982,76982,1902_07_TeamMJ_TeamB,121,32.0,121,4400152,3,2,4398852,4399552.0,,2
144,76997,76997,1902_07_TeamMJ_TeamB,125,33.0,125,4484902,3,2,4483002,4484252.0,,2
145,77979,77979,1901_04_TeamLI_TeamA3,95,,95,2860766,3,2,2859316,2859866.0,2860316.0,4
146,78747,78747,1901_04_TeamLI_TeamA3,313,,315,10609209,3,2,10607859,10609059.0,,2
147,79067,79067,1903_28_TeamNF_TeamA2,90,23.0,90,2753501,3,2,2752351,2753101.0,,2
148,79848,79848,1901_16_TeamLH_TeamA3,9,,10,297930,3,2,296680,297330.0,,2
149,79897,79897,1901_16_TeamLH_TeamA3,22,,23,639180,3,2,637380,638180.0,638630.0,3
150,80071,80071,1901_16_TeamLH_TeamA3,73,,75,2520325,3,2,2519775,,,1
151,80733,80733,1901_16_TeamLH_TeamA3,242,,244,8658019,3,2,8656919,8657419.0,8657819.0,3
152,81566,81566,1902_25_TeamMH_TeamA3,166,41.0,167,5394812,3,2,5393712,,,1
153,81631,81631,1902_25_TeamMH_TeamA3,180,45.0,181,5853412,3,2,5850512,5851612.0,5852212.0,6
154,84077,84077,1903_07_TeamND_TeamA2,271,61.0,272,8693573,3,2,8691573,8692823.0,,2
155,84117,84117,1903_07_TeamND_TeamA2,283,65.0,284,9272873,3,2,9271523,9272423.0,,2
156,84564,84564,1902_20_TeamME_TeamA2,49,15.0,49,1733328,3,2,1732178,1732778.0,1733278.0,3
157,84608,84608,1902_20_TeamME_TeamA2,61,18.0,61,2022428,3,2,2019628,2022028.0,,2
158,85269,85269,1902_20_TeamME_TeamA2,229,60.0,229,8662028,3,2,8659978,8660978.0,8661528.0,3
159,85514,85514,1902_20_TeamME_TeamA2,298,74.0,298,10891428,3,2,10889328,10889928.0,10890378.0,6
160,85587,85587,1903_04_TeamNC_TeamA1,10,4.0,11,312619,3,2,312569,,,1
161,85690,85690,1903_04_TeamNC_TeamA1,36,9.0,38,1187019,3,2,1185469,1186019.0,1186619.0,3
162,85700,85700,1903_04_TeamNC_TeamA1,38,10.0,40,1349969,3,2,1348719,1349269.0,1349719.0,3
163,85809,85809,1903_04_TeamNC_TeamA1,65,18.0,67,2206719,3,2,2205719,2206119.0,2206419.0,3
164,86581,86581,1902_30_TeamMF_TeamA2,130,32.0,130,4076979,3,2,4075429,,,1
165,86928,86928,1902_30_TeamMF_TeamA2,216,54.0,216,7639429,3,2,7637479,7638029.0,7638379.0,4
166,87604,87604,1902_17_TeamMB_TeamA1,70,19.0,70,2371384,3,2,2369234,2370734.0,,2
167,87649,87649,1902_17_TeamMB_TeamA1,81,23.0,81,2741384,3,2,2739684,2741084.0,,2
168,87656,87656,1902_17_TeamMB_TeamA1,82,24.0,82,2825734,3,2,2824634,2825184.0,2825584.0,3
169,87664,87664,1902_17_TeamMB_TeamA1,83,25.0,83,2867134,3,2,2865284,2866634.0,,2
170,87806,87806,1902_17_TeamMB_TeamA1,115,36.0,116,4222418,3,2,4221268,4222068.0,,2
171,87855,87855,1902_17_TeamMB_TeamA1,126,39.0,127,4613618,3,2,4611818,4613168.0,,2
172,87903,87903,1902_17_TeamMB_TeamA1,139,42.0,140,4982718,3,2,4980468,4982018.0,,2
173,87943,87943,1902_17_TeamMB_TeamA1,151,44.0,152,5367368,3,2,5365168,5366618.0,,2
174,87958,87958,1902_17_TeamMB_TeamA1,155,45.0,156,5467068,3,2,5464568,5466268.0,,2
175,88837,88837,1901_05_TeamLI_TeamA3,150,,150,5098051,3,2,5096751,,,1
176,89674,89674,1902_08_TeamMJ_TeamB,29,8.0,29,1002694,3,2,1001244,1002644.0,,2
177,89935,89935,1902_08_TeamMJ_TeamB,99,25.0,99,3617494,3,2,3614694,3615944.0,3616594.0,4
178,90161,90161,1902_08_TeamMJ_TeamB,158,39.0,158,6114994,3,2,6113994,6114494.0,6114844.0,3
179,90307,90307,1902_08_TeamMJ_TeamB,195,49.0,195,7671144,3,2,7670044,7670544.0,7670794.0,4
180,91061,91061,1903_10_TeamNJ_TeamB,5,2.0,6,152839,3,2,151339,152339.0,,2
181,92071,92071,1903_29_TeamNF_TeamA2,16,3.0,16,300954,3,2,300104,300554.0,,2
182,94306,94306,1901_17_TeamLH_TeamA3,324,,330,11453329,3,2,11451379,11452379.0,11452979.0,3
183,94992,94992,1901_15_TeamLL_TeamB,156,,156,5357316,3,2,5356916,,,1
184,95899,95899,1903_13_TeamNG_TeamA3,162,40.0,162,5305484,3,2,5303984,5305034.0,,2
185,96410,96410,1903_21_TeamNL_TeamB,50,13.0,52,1506208,3,2,1505008,1505458.0,,2
186,97421,97421,1903_30_TeamNF_TeamA2,89,21.0,89,2596197,3,2,2593597,2595047.0,2595747.0,3
187,98327,98327,1903_06_TeamND_TeamA2,56,17.0,57,1684024,3,2,1682174,1683574.0,,2
188,99031,99031,1903_06_TeamND_TeamA2,237,65.0,241,7989774,3,2,7988024,7988774.0,7989274.0,3
189,99587,99587,1903_25_TeamNH_TeamA3,129,38.0,130,4325861,3,2,4324411,4325261.0,4325761.0,3
190,99646,99646,1903_25_TeamNH_TeamA3,146,43.0,147,4960561,3,2,4959211,,,1
191,100369,100369,1902_21_TeamME_TeamA2,43,12.0,43,1399258,3,2,1397658,1398358.0,1398958.0,3
192,100396,100396,1902_21_TeamME_TeamA2,48,14.0,48,1548508,3,2,1548258,,,1
193,100506,100506,1902_21_TeamME_TeamA2,77,,77,2725608,3,2,2724708,,,1
194,100847,100847,1902_21_TeamME_TeamA2,164,49.0,164,5862358,3,2,5861008,5861958.0,,2
195,100857,100857,1902_21_TeamME_TeamA2,166,50.0,166,5931208,3,2,5929308,,,1
196,100928,100928,1902_21_TeamME_TeamA2,181,55.0,181,6486258,3,2,6483158,6483558.0,6485658.0,3
197,101051,101051,1902_21_TeamME_TeamA2,209,65.0,209,7795458,3,2,7793108,,,1
